country_of_birth,country_of_destination,education_level,sex,number,Country_origin,origin_Education,origin_Jobs,origin_Income,origin_Safety,origin_Health,origin_Environment,origin_Civic engagement,origin_Accessiblity to services,origin_Housing,origin_Community,origin_Life satisfaction,origin_PR rating,origin_CL rating,Country_dest,dest_Education,dest_Jobs,dest_Income,dest_Safety,dest_Health,dest_Environment,dest_Civic engagement,dest_Accessiblity to services,dest_Housing,dest_Community,dest_Life satisfaction,dest_PR rating,dest_CL rating,diff_Education,diff_Jobs,diff_Income,diff_Safety,diff_Health,diff_Environment,diff_Civic engagement,diff_Accessiblity to services,diff_Housing,diff_Community,diff_Life satisfaction,diff_PR rating,diff_CL rating
TUR,USA,ISCED 5/6/7/8,Female,181985.0,Türkiye,0.0555555555555563,1.5298507462686572,0.653074524042266,7.222222222222222,4.368181818181817,0.8333333333333324,8.989242492155986,4.046535318161572,2.2917483552172406,0.9259259259259266,0.5378251588939802,0.0,0.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,9.277777777777775,5.814340459862847,9.346925475957734,0.3174603174603172,-1.0991341991341983,7.708333333333334,-4.130434782608697,4.8501371862167115,7.708251644782759,6.790123456790128,7.154482533413713,2.0,2.0
TUR,USA,ISCED 5/6/7/8,Male,221251.0,Türkiye,0.0555555555555563,1.5298507462686572,0.653074524042266,7.222222222222222,4.368181818181817,0.8333333333333324,8.989242492155986,4.046535318161572,2.2917483552172406,0.9259259259259266,0.5378251588939802,0.0,0.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,9.277777777777775,5.814340459862847,9.346925475957734,0.3174603174603172,-1.0991341991341983,7.708333333333334,-4.130434782608697,4.8501371862167115,7.708251644782759,6.790123456790128,7.154482533413713,2.0,2.0
USA,AUS,ISCED 5/6/7/8,Female,147414.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,-1.1111111111111107,0.9494755949979838,-3.9594097658613787,2.222222222222225,5.719264069264073,-0.2604166666666661,4.862231936656457,-3.8859835877659563,-0.6474820143884923,0.9876543209876516,0.76923076923077,-1.0,-1.0
USA,AUS,ISCED 5/6/7/8,Male,117821.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,-1.1111111111111107,0.9494755949979838,-3.9594097658613787,2.222222222222225,5.719264069264073,-0.2604166666666661,4.862231936656457,-3.8859835877659563,-0.6474820143884923,0.9876543209876516,0.76923076923077,-1.0,-1.0
USA,CAN,ISCED 5/6/7/8,Female,481555.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Canada,9.62962962962963,7.206030657523196,5.138248847926268,9.285714285714285,7.734199134199133,9.166666666666668,7.144778126400718,8.316103314587107,8.576741476004644,8.086419753086423,8.076923076923077,1.0,1.0,0.2962962962962976,-0.13816054860830818,-4.861751152073732,1.7460317460317452,4.465151515151514,0.6250000000000018,2.285970416853429,-0.5805691897911771,-1.4232585239953561,0.37037037037036846,0.38461538461538325,-1.0,-1.0
USA,CAN,ISCED 5/6/7/8,Male,371165.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Canada,9.62962962962963,7.206030657523196,5.138248847926268,9.285714285714285,7.734199134199133,9.166666666666668,7.144778126400718,8.316103314587107,8.576741476004644,8.086419753086423,8.076923076923077,1.0,1.0,0.2962962962962976,-0.13816054860830818,-4.861751152073732,1.7460317460317452,4.465151515151514,0.6250000000000018,2.285970416853429,-0.5805691897911771,-1.4232585239953561,0.37037037037036846,0.38461538461538325,-1.0,-1.0
USA,CHE,ISCED 5/6/7/8,Female,47797.54154586792,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Switzerland,8.703703703703704,9.02001815248084,10.0,9.92063492063492,8.695238095238093,7.8125,0.567958815378171,9.75845198299437,5.755395683453237,8.827160493827165,9.615384615384617,1.0,1.0,-0.629629629629628,1.6758269463493365,0.0,2.3809523809523796,5.426190476190474,-0.7291666666666661,-4.290848894169118,0.8617794786160857,-4.244604316546763,1.1111111111111107,1.9230769230769234,-1.0,-1.0
USA,CHE,ISCED 5/6/7/8,Male,45360.67597770691,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Switzerland,8.703703703703704,9.02001815248084,10.0,9.92063492063492,8.695238095238093,7.8125,0.567958815378171,9.75845198299437,5.755395683453237,8.827160493827165,9.615384615384617,1.0,1.0,-0.629629629629628,1.6758269463493365,0.0,2.3809523809523796,5.426190476190474,-0.7291666666666661,-4.290848894169118,0.8617794786160857,-4.244604316546763,1.1111111111111107,1.9230769230769234,-1.0,-1.0
USA,COL,ISCED 5/6/7/8,Female,13164.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Colombia,3.4074074074074066,0.9290540540540544,0.906753712237583,3.2195715810276675,4.302813852813854,5.208333333333334,3.424473330345137,1.2110129335016846,0.7398937989216032,3.086419753086422,3.461538461538463,2.0,3.0,-5.925925925925926,-6.41513715207745,-9.093246287762417,-4.3201109586548725,1.0337662337662348,-3.333333333333332,-1.4343343792021521,-7.685659570876599,-9.260106201078397,-4.629629629629632,-4.23076923076923,0.0,1.0
USA,COL,ISCED 5/6/7/8,Male,18201.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Colombia,3.4074074074074066,0.9290540540540544,0.906753712237583,3.2195715810276675,4.302813852813854,5.208333333333334,3.424473330345137,1.2110129335016846,0.7398937989216032,3.086419753086422,3.461538461538463,2.0,3.0,-5.925925925925926,-6.41513715207745,-9.093246287762417,-4.3201109586548725,1.0337662337662348,-3.333333333333332,-1.4343343792021521,-7.685659570876599,-9.260106201078397,-4.629629629629632,-4.23076923076923,0.0,1.0
USA,CZE,ISCED 5/6/7/8,Female,5886.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Czech Republic,10.0,9.08783783783784,3.283759251501187,9.642857142857142,3.0987012987012994,5.15625,3.514119229045271,5.207948390603844,3.597122302158273,8.20987654320988,7.30769230769231,1.0,1.0,0.6666666666666679,1.7436466317063362,-6.716240748498813,2.103174603174603,-0.17034632034631958,-3.385416666666666,-1.3446884805020178,-3.6887241137744393,-6.402877697841727,0.4938271604938258,-0.38461538461538325,-1.0,-1.0
USA,CZE,ISCED 5/6/7/8,Male,9418.0,United States,9.333333333333332,7.344191206131504,10.0,7.5396825396825395,3.269047619047619,8.541666666666666,4.858807709547289,8.896672504378284,10.0,7.716049382716054,7.692307692307693,2.0,2.0,Czech Republic,10.0,9.08783783783784,3.283759251501187,9.642857142857142,3.0987012987012994,5.15625,3.514119229045271,5.207948390603844,3.597122302158273,8.20987654320988,7.30769230769231,1.0,1.0,0.6666666666666679,1.7436466317063362,-6.716240748498813,2.103174603174603,-0.17034632034631958,-3.385416666666666,-1.3446884805020178,-3.6887241137744393,-6.402877697841727,0.4938271604938258,-0.38461538461538325,-1.0,-1.0
